LiPS-CSV-H,Ver1.00,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,製品名,P,Q,,,,,,,,
t(:profit)},1440000,,,製品当り利益,9000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,最小製造数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,最大製造数,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,製造数,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
工程,稼働時間,≦≧,実稼働,稼働率,製品を一単位作るのに必要な稼働時間
A,2400.0,以下,2400.0,100.0%,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,2400.0,以下,2400.0,100.0%,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,2400.0,以下,2400.0,100.0%,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2400.0,以下,2400.0,100.0%,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,以下,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,以下,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,以下,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,以下,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,以下,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.0,以下,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
