LiPS-CSV,Ver1.10,線型計画法計算[LiPS 汎用会員] 結果　(最大値),
このファイルはUploadできます。
最大化/最小化,最大値,,,工程,東抄造,西抄造,原乾燥,新乾燥,加工,塗装
,,,,稼働時間,1.0,1.0,1.0,2.0,993.0,1.0
利益,0,,,以上・以下,以下,以下,以下,以下,以下,以下
,,,,実稼働,0.0,0.0,0.0,0.0,0.0,0.0
,,,,稼働率, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%, 0.0%
製品名,製品当り利益,最小製造数,最大製造数,製造数,製品を一単位作るのに必要な稼働時間
F3×10（西新）,400.0,37.0,,,,7.5,,7.5,3.5,
F3×10（西原）,400.0,,,,,7.5,12.0,,3.5,
普3×10（東原）,1.0,,,,7.5,,10.3,,3.5,10.0
12普3×6(西新）,697.0,354.0,,,,12.0,,11.3,6.0,
12普3×6化粧(西新）,715.0,,,,,12.0,,11.3,6.0,14.4
12F無塗装（西新）,704.0,29.0,,,,7.5,,7.5,5.0,7.5
12F無塗装（西原）,704.0,,,,,7.5,12.0,,5.0,7.5
12F化粧（西新）,817.0,10.0,,,,7.5,,7.5,5.0,8.0
12普及化粧（西新）,817.0,32.0,,,,7.5,,7.5,5.0,8.0
12普及化粧（西原）,817.0,,,,,7.5,9.2,,5.0,8.0
12普及化粧（東新）,817.0,,,,7.5,,,7.5,5.0,8.0
12普及化粧（東原）,817.0,,,,7.5,,9.2,,5.0,8.0
12普及無塗装（西新）,704.0,6.0,,,,7.5,,7.5,5.0,7.5
12普及無塗装（東原）,704.0,,,,7.5,,9.2,,5.0,7.5
12高級リブ柄,817.0,,,,7.8,,10.0,,5.5,7.5
12高級（東原）,1.0,,,,7.8,,10.6,,5.5,8.0
15高級（東原）,1.0,,,,10.0,,12.0,,6.0,12.0
16高級（東原）,1.0,,,,18.0,,14.4,,5.1,10.0
16F化粧（西新）,1.0,,,,,10.0,,9.5,5.1,8.2
16F無塗装（西新）,1.0,,,,,10.0,,9.5,5.3,8.0
16F化粧（西原）,1.0,,,,,10.0,12.9,,5.3,8.2
14F無塗装（西新）,1.0,,,,,10.0,,9.5,5.3,8.0
野地板（西新）,598.0,,,,,12.9,,14.4,5.5,
野地板2M（西新）,598.0,,,,,12.0,,14.4,5.5,
S1コタタキ（東原）,157.0,,,,8.6,,10.0,,,
トンネル材,1.0,1.0,1.0,,,8.0,,8.4,,10.0
型板,1.0,700.0,700.0,,,45.0,,,,
